eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
52,0.1,0.31,0.5,9.75,40.75,12,0.1,0,10,4
53,0.1,0.31,0.5,12.0,39.5,21,0.1,0,10,4
54,0.1,0.31,0.5,10.25,39.0,14,0.1,0,10,4
55,0.1,0.31,0.5,9.75,-8.0,13,0.1,0,10,4
56,0.1,0.31,0.5,10.5,37.75,17,0.1,0,10,4
57,0.1,0.31,0.5,9.75,40.5,13,0.1,0,10,4
58,0.1,0.31,0.5,10.0,28.25,58,0.1,0,10,4
59,0.1,0.31,0.5,9.75,41.5,12,0.1,0,10,4
60,0.1,0.31,0.5,9.5,32.25,44,0.1,0,10,4
61,0.1,0.31,0.5,9.5,-115.5,221,0.1,0,10,4
62,0.1,0.31,0.5,10.5,28.25,51,0.1,0,10,4
63,0.1,0.31,0.5,9.75,33.0,39,0.1,0,10,4
64,0.1,0.31,0.5,11.25,86.0,30,0.1,1,10,4
65,0.1,0.31,0.5,10.5,90.75,12,0.1,1,10,4
66,0.1,0.31,0.5,10.25,91.25,11,0.1,1,10,4
67,0.1,0.31,0.5,10.25,90.5,13,0.1,1,10,4
68,0.1,0.31,0.5,10.25,91.25,11,0.1,1,10,4
69,0.1,0.31,0.5,11.0,41.0,15,0.1,0,10,4
70,0.1,0.31,0.5,10.75,91.0,13,0.1,1,10,4
71,0.1,0.31,0.5,10.25,90.75,14,0.1,1,10,4
72,0.1,0.31,0.5,10.25,91.5,11,0.1,1,10,4
73,0.1,0.31,0.5,10.75,91.0,13,0.1,1,10,4
74,0.1,0.31,0.5,10.75,90.0,16,0.1,1,10,4
75,0.1,0.31,0.5,10.25,91.25,12,0.1,1,10,4
76,0.1,0.31,0.5,10.75,92.0,10,0.1,1,10,4
77,0.1,0.31,0.5,9.75,92.0,10,0.1,1,10,4
78,0.1,0.31,0.5,10.0,90.75,12,0.1,1,10,4
79,0.1,0.31,0.5,10.25,90.75,12,0.1,1,10,4
80,0.1,0.31,0.5,9.5,91.5,10,0.1,1,10,4
81,0.1,0.31,0.5,10.5,90.25,14,0.1,1,10,4
82,0.1,0.31,0.5,9.75,90.25,13,0.1,1,10,4
83,0.1,0.31,0.5,10.0,91.25,12,0.1,1,10,4
84,0.1,0.31,0.5,9.75,91.75,10,0.1,1,10,4
85,0.1,0.31,0.5,10.5,90.25,15,0.1,1,10,4
86,0.1,0.31,0.5,9.75,92.0,10,0.1,1,10,4
87,0.1,0.31,0.5,11.25,91.5,11,0.1,1,10,4
88,0.1,0.31,0.5,10.0,90.75,12,0.1,1,10,4
89,0.1,0.31,0.5,9.75,92.0,10,0.1,1,10,4
90,0.1,0.31,0.5,10.25,91.25,12,0.1,1,10,4
91,0.1,0.31,0.5,9.75,90.75,12,0.1,1,10,4
92,0.1,0.31,0.5,10.25,92.0,10,0.1,1,10,4
93,0.1,0.31,0.5,10.75,90.0,15,0.1,1,10,4
94,0.1,0.31,0.5,10.0,91.5,11,0.1,1,10,4
95,0.1,0.31,0.5,9.75,91.75,11,0.1,1,10,4
96,0.1,0.31,0.5,9.75,92.0,10,0.1,1,10,4
97,0.1,0.31,0.5,12.0,86.5,20,0.1,1,10,4
98,0.1,0.31,0.5,9.75,91.75,10,0.1,1,10,4
99,0.1,0.31,0.5,9.75,-6.75,10,0.1,0,10,4
100,0.1,0.31,0.5,9.75,43.5,10,0.1,0,10,4
101,0.1,0.31,0.5,8.75,43.5,10,0.1,0,10,4
102,0.1,0.31,0.5,8.75,42.75,10,0.1,0,10,4
103,0.1,0.31,0.5,8.75,41.75,10,0.1,0,10,4
104,0.1,0.31,0.5,8.75,42.0,11,0.1,0,10,4
105,0.1,0.31,0.5,8.75,41.5,11,0.1,0,10,4
106,0.1,0.31,0.5,9.0,40.0,16,0.1,0,10,4
107,0.1,0.31,0.5,9.0,43.0,10,0.1,0,10,4
108,0.1,0.31,0.5,9.25,35.75,30,0.1,0,10,4
109,0.1,0.31,0.5,8.75,43.5,10,0.1,0,10,4
110,0.1,0.31,0.5,9.5,38.0,18,0.1,0,10,4
111,0.1,0.31,0.5,9.25,25.25,76,0.1,0,10,4
112,0.1,0.31,0.5,10.25,37.0,26,0.1,0,10,4
113,0.1,0.31,0.5,9.0,-30.75,105,0.1,0,10,4
114,0.1,0.31,0.5,9.0,33.0,45,0.1,0,10,4
115,0.1,0.31,0.5,9.25,-13.25,26,0.1,0,10,4
116,0.1,0.31,0.5,9.0,42.5,10,0.1,0,10,4
117,0.1,0.31,0.5,9.0,32.5,45,0.1,0,10,4
118,0.1,0.31,0.5,9.0,19.0,101,0.1,0,10,4
119,0.1,0.31,0.5,9.0,31.5,51,0.1,0,10,4
120,0.1,0.31,0.5,9.0,31.75,50,0.1,0,10,4
121,0.1,0.31,0.5,9.25,42.0,12,0.1,0,10,4
122,0.1,0.31,0.5,9.0,11.5,131,0.1,0,10,4
123,0.1,0.31,0.5,9.0,32.0,49,0.1,0,10,4
124,0.1,0.31,0.5,9.5,21.25,90,0.1,0,10,4
125,0.1,0.31,0.5,9.0,39.0,21,0.1,0,10,4
126,0.1,0.31,0.5,9.0,34.25,40,0.1,0,10,4
127,0.1,0.31,0.5,9.0,34.5,37,0.1,0,10,4
128,0.1,0.31,0.5,9.5,23.75,77,0.1,0,10,4
129,0.1,0.31,0.5,9.0,42.5,10,0.1,0,10,4
130,0.1,0.31,0.5,9.0,23.25,84,0.1,0,10,4
131,0.1,0.31,0.5,9.0,39.25,18,0.1,0,10,4
132,0.1,0.31,0.5,9.0,20.25,96,0.1,0,10,4
133,0.1,0.31,0.5,9.0,33.25,44,0.1,0,10,4
134,0.1,0.31,0.5,9.0,30.75,54,0.1,0,10,4
135,0.1,0.31,0.5,9.0,33.25,42,0.1,0,10,4
136,0.1,0.31,0.5,9.0,41.25,12,0.1,0,10,4
137,0.1,0.31,0.5,9.5,32.25,47,0.1,0,10,4
138,0.1,0.31,0.5,9.0,-56.25,208,0.1,0,10,4
139,0.1,0.31,0.5,9.25,-8.75,14,0.1,0,10,4
140,0.1,0.31,0.5,8.75,26.75,66,0.1,0,10,4
141,0.1,0.31,0.5,9.0,16.5,107,0.1,0,10,4
142,0.1,0.31,0.5,9.0,36.0,33,0.1,0,10,4
143,0.1,0.31,0.5,9.0,-24.25,274,0.1,0,10,4
144,0.1,0.31,0.5,9.0,36.5,28,0.1,0,10,4
145,0.1,0.31,0.5,9.0,31.0,53,0.1,0,10,4
146,0.1,0.31,0.5,9.0,34.0,39,0.1,0,10,4
147,0.1,0.31,0.5,9.0,42.25,10,0.1,0,10,4
148,0.1,0.31,0.5,9.0,36.75,30,0.1,0,10,4
