eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-122.66666666666667,35,0.1,0,10,6
1,0.1,0.31,0.5,0.0,-162.83333333333334,147,0.1,0,10,6
2,0.1,0.31,0.5,3.1666666666666665,-97.66666666666667,70,0.1,0,10,6
3,0.1,0.31,0.5,16.833333333333332,-33.833333333333336,86,0.1,0,10,6
4,0.1,0.31,0.5,21.666666666666668,-3.8333333333333335,120,0.1,0,10,6
5,0.1,0.31,0.5,21.666666666666668,50.166666666666664,28,0.1,0,10,6
6,0.1,0.31,0.5,29.5,52.833333333333336,28,0.1,0,10,6
7,0.1,0.31,0.5,24.0,53.0,32,0.1,0,10,6
8,0.1,0.31,0.5,28.166666666666668,48.833333333333336,50,0.1,0,10,6
9,0.1,0.31,0.5,26.166666666666668,72.5,102,0.1,1,10,6
10,0.1,0.31,0.5,31.166666666666668,89.0,19,0.1,1,10,6
11,0.1,0.31,0.5,27.833333333333332,89.0,19,0.1,1,10,6
12,0.1,0.31,0.5,30.166666666666668,89.0,16,0.1,1,10,6
13,0.1,0.31,0.5,26.666666666666668,89.16666666666667,18,0.1,1,10,6
14,0.1,0.31,0.5,26.333333333333332,90.5,14,0.1,1,10,6
15,0.1,0.31,0.5,29.666666666666668,77.83333333333333,74,0.1,1,10,6
16,0.1,0.31,0.5,25.833333333333332,53.666666666666664,34,0.1,0,10,6
17,0.1,0.31,0.5,29.333333333333332,88.5,17,0.1,1,10,6
18,0.1,0.31,0.5,28.666666666666668,89.83333333333333,22,0.1,1,10,6
19,0.1,0.31,0.5,26.0,90.33333333333333,14,0.1,1,10,6
20,0.1,0.31,0.5,31.833333333333332,90.0,14,0.1,1,10,6
21,0.1,0.31,0.5,28.5,89.83333333333333,19,0.1,1,10,6
22,0.1,0.31,0.5,27.666666666666668,46.833333333333336,76,0.1,0,10,6
23,0.1,0.31,0.5,29.333333333333332,91.16666666666667,15,0.1,1,10,6
24,0.1,0.31,0.5,26.666666666666668,91.66666666666667,15,0.1,1,10,6
25,0.1,0.31,0.5,30.0,57.833333333333336,14,0.1,0,10,6
26,0.1,0.31,0.5,29.333333333333332,91.33333333333333,14,0.1,1,10,6
27,0.1,0.31,0.5,30.5,51.666666666666664,50,0.1,0,10,6
28,0.1,0.31,0.5,31.0,86.33333333333333,21,0.1,1,10,6
29,0.1,0.31,0.5,29.5,89.33333333333333,19,0.1,1,10,6
30,0.1,0.31,0.5,29.166666666666668,91.5,14,0.1,1,10,6
31,0.1,0.31,0.5,27.5,89.83333333333333,22,0.1,1,10,6
32,0.1,0.31,0.5,28.166666666666668,87.83333333333333,29,0.1,1,10,6
33,0.1,0.31,0.5,27.333333333333332,90.0,17,0.1,1,10,6
34,0.1,0.31,0.5,26.833333333333332,91.66666666666667,14,0.1,1,10,6
35,0.1,0.31,0.5,30.833333333333332,90.16666666666667,20,0.1,1,10,6
36,0.1,0.31,0.5,28.166666666666668,57.166666666666664,19,0.1,0,10,6
37,0.1,0.31,0.5,24.5,59.166666666666664,11,0.1,0,10,6
38,0.1,0.31,0.5,27.166666666666668,90.66666666666667,16,0.1,1,10,6
39,0.1,0.31,0.5,24.333333333333332,90.33333333333333,23,0.1,1,10,6
40,0.1,0.31,0.5,27.166666666666668,91.0,15,0.1,1,10,6
41,0.1,0.31,0.5,29.0,91.0,16,0.1,1,10,6
42,0.1,0.31,0.5,29.0,89.66666666666667,14,0.1,1,10,6
43,0.1,0.31,0.5,29.333333333333332,89.5,15,0.1,1,10,6
44,0.1,0.31,0.5,29.833333333333332,91.5,14,0.1,1,10,6
45,0.1,0.31,0.5,28.833333333333332,91.33333333333333,14,0.1,1,10,6
46,0.1,0.31,0.5,25.833333333333332,89.5,21,0.1,1,10,6
47,0.1,0.31,0.5,31.166666666666668,57.5,16,0.1,0,10,6
48,0.1,0.31,0.5,27.0,91.5,14,0.1,1,10,6
49,0.1,0.31,0.5,25.0,91.5,15,0.1,1,10,6
50,0.1,0.31,0.5,31.666666666666668,89.83333333333333,17,0.1,1,10,6
51,0.1,0.31,0.5,28.166666666666668,85.0,51,0.1,1,10,6
52,0.1,0.31,0.5,27.666666666666668,88.83333333333333,27,0.1,1,10,6
53,0.1,0.31,0.5,32.833333333333336,91.5,14,0.1,1,10,6
54,0.1,0.31,0.5,26.833333333333332,91.33333333333333,14,0.1,1,10,6
55,0.1,0.31,0.5,26.333333333333332,91.66666666666667,14,0.1,1,10,6
56,0.1,0.31,0.5,31.5,91.5,14,0.1,1,10,6
57,0.1,0.31,0.5,26.5,89.66666666666667,17,0.1,1,10,6
58,0.1,0.31,0.5,26.333333333333332,91.0,19,0.1,1,10,6
59,0.1,0.31,0.5,31.166666666666668,91.16666666666667,14,0.1,1,10,6
60,0.1,0.31,0.5,27.0,91.5,15,0.1,1,10,6
61,0.1,0.31,0.5,27.0,91.83333333333333,14,0.1,1,10,6
62,0.1,0.31,0.5,30.833333333333332,54.5,26,0.1,0,10,6
63,0.1,0.31,0.5,27.5,91.83333333333333,14,0.1,1,10,6
64,0.1,0.31,0.5,25.833333333333332,91.16666666666667,16,0.1,1,10,6
65,0.1,0.31,0.5,34.0,47.166666666666664,44,0.1,0,10,6
66,0.1,0.31,0.5,29.166666666666668,91.5,16,0.1,1,10,6
67,0.1,0.31,0.5,25.5,89.33333333333333,18,0.1,1,10,6
68,0.1,0.31,0.5,28.5,90.5,14,0.1,1,10,6
69,0.1,0.31,0.5,29.666666666666668,87.5,31,0.1,1,10,6
70,0.1,0.31,0.5,24.5,91.5,14,0.1,1,10,6
71,0.1,0.31,0.5,31.5,58.833333333333336,14,0.1,0,10,6
72,0.1,0.31,0.5,27.666666666666668,91.83333333333333,14,0.1,1,10,6
73,0.1,0.31,0.5,25.166666666666668,57.5,14,0.1,0,10,6
74,0.1,0.31,0.5,30.0,90.33333333333333,19,0.1,1,10,6
75,0.1,0.31,0.5,28.833333333333332,91.83333333333333,14,0.1,1,10,6
76,0.1,0.31,0.5,25.333333333333332,90.33333333333333,17,0.1,1,10,6
77,0.1,0.31,0.5,29.333333333333332,91.66666666666667,14,0.1,1,10,6
78,0.1,0.31,0.5,29.0,91.66666666666667,14,0.1,1,10,6
79,0.1,0.31,0.5,23.333333333333332,91.66666666666667,14,0.1,1,10,6
80,0.1,0.31,0.5,29.333333333333332,89.66666666666667,27,0.1,1,10,6
81,0.1,0.31,0.5,30.833333333333332,56.5,19,0.1,0,10,6
82,0.1,0.31,0.5,26.166666666666668,58.666666666666664,14,0.1,0,10,6
83,0.1,0.31,0.5,28.166666666666668,91.83333333333333,14,0.1,1,10,6
84,0.1,0.31,0.5,28.166666666666668,91.33333333333333,15,0.1,1,10,6
85,0.1,0.31,0.5,26.166666666666668,91.83333333333333,14,0.1,1,10,6
86,0.1,0.31,0.5,29.666666666666668,91.0,14,0.1,1,10,6
87,0.1,0.31,0.5,28.666666666666668,85.5,51,0.1,1,10,6
88,0.1,0.31,0.5,24.666666666666668,90.5,17,0.1,1,10,6
89,0.1,0.31,0.5,30.166666666666668,92.0,12,0.1,1,10,6
90,0.1,0.31,0.5,28.5,91.33333333333333,14,0.1,1,10,6
91,0.1,0.31,0.5,24.0,89.66666666666667,20,0.1,1,10,6
92,0.1,0.31,0.5,30.166666666666668,90.83333333333333,17,0.1,1,10,6
93,0.1,0.31,0.5,28.833333333333332,91.5,14,0.1,1,10,6
94,0.1,0.31,0.5,23.666666666666668,91.83333333333333,14,0.1,1,10,6
95,0.1,0.31,0.5,29.333333333333332,91.33333333333333,14,0.1,1,10,6
96,0.1,0.31,0.5,28.666666666666668,91.5,14,0.1,1,10,6
97,0.1,0.31,0.5,25.666666666666668,90.16666666666667,16,0.1,1,10,6
98,0.1,0.31,0.5,29.5,89.83333333333333,26,0.1,1,10,6
99,0.1,0.31,0.5,31.833333333333332,-39.5,11,0.1,0,10,6
100,0.1,0.31,0.5,30.5,-39.666666666666664,11,0.1,0,10,6
101,0.1,0.31,0.5,27.833333333333332,-40.0,13,0.1,0,10,6
102,0.1,0.31,0.5,25.833333333333332,-59.166666666666664,62,0.1,0,10,6
103,0.1,0.31,0.5,28.166666666666668,21.0,137,0.1,0,10,6
104,0.1,0.31,0.5,27.333333333333332,54.166666666666664,22,0.1,0,10,6
105,0.1,0.31,0.5,27.333333333333332,53.833333333333336,29,0.1,0,10,6
106,0.1,0.31,0.5,28.333333333333332,50.666666666666664,46,0.1,0,10,6
107,0.1,0.31,0.5,23.833333333333332,53.0,32,0.1,0,10,6
108,0.1,0.31,0.5,30.666666666666668,49.333333333333336,58,0.1,0,10,6
109,0.1,0.31,0.5,29.666666666666668,49.333333333333336,51,0.1,0,10,6
110,0.1,0.31,0.5,24.5,55.0,23,0.1,0,10,6
111,0.1,0.31,0.5,28.833333333333332,17.5,53,0.1,0,10,6
112,0.1,0.31,0.5,30.0,55.333333333333336,20,0.1,0,10,6
113,0.1,0.31,0.5,24.0,53.833333333333336,20,0.1,0,10,6
114,0.1,0.31,0.5,27.666666666666668,15.666666666666666,38,0.1,0,10,6
115,0.1,0.31,0.5,22.833333333333332,50.666666666666664,47,0.1,0,10,6
116,0.1,0.31,0.5,29.0,58.5,14,0.1,0,10,6
117,0.1,0.31,0.5,24.833333333333332,88.16666666666667,22,0.1,1,10,6
118,0.1,0.31,0.5,28.0,88.66666666666667,18,0.1,1,10,6
119,0.1,0.31,0.5,27.666666666666668,89.66666666666667,18,0.1,1,10,6
120,0.1,0.31,0.5,28.333333333333332,55.166666666666664,25,0.1,0,10,6
121,0.1,0.31,0.5,32.333333333333336,88.66666666666667,21,0.1,1,10,6
122,0.1,0.31,0.5,23.833333333333332,89.83333333333333,20,0.1,1,10,6
123,0.1,0.31,0.5,31.166666666666668,89.16666666666667,20,0.1,1,10,6
124,0.1,0.31,0.5,31.0,90.0,19,0.1,1,10,6
125,0.1,0.31,0.5,24.666666666666668,89.66666666666667,18,0.1,1,10,6
126,0.1,0.31,0.5,32.166666666666664,89.5,20,0.1,1,10,6
127,0.1,0.31,0.5,31.166666666666668,89.33333333333333,20,0.1,1,10,6
128,0.1,0.31,0.5,23.333333333333332,89.83333333333333,21,0.1,1,10,6
129,0.1,0.31,0.5,32.333333333333336,90.0,18,0.1,1,10,6
130,0.1,0.31,0.5,32.0,88.83333333333333,18,0.1,1,10,6
131,0.1,0.31,0.5,22.833333333333332,90.16666666666667,18,0.1,1,10,6
132,0.1,0.31,0.5,33.0,89.0,25,0.1,1,10,6
133,0.1,0.31,0.5,32.5,88.83333333333333,21,0.1,1,10,6
134,0.1,0.31,0.5,24.833333333333332,89.16666666666667,22,0.1,1,10,6
135,0.1,0.31,0.5,33.0,55.5,18,0.1,0,10,6
136,0.1,0.31,0.5,30.0,89.16666666666667,18,0.1,1,10,6
137,0.1,0.31,0.5,23.333333333333332,87.66666666666667,28,0.1,1,10,6
138,0.1,0.31,0.5,33.166666666666664,89.5,19,0.1,1,10,6
139,0.1,0.31,0.5,32.0,90.16666666666667,18,0.1,1,10,6
140,0.1,0.31,0.5,25.333333333333332,56.333333333333336,18,0.1,0,10,6
141,0.1,0.31,0.5,32.333333333333336,89.33333333333333,18,0.1,1,10,6
142,0.1,0.31,0.5,30.333333333333332,90.16666666666667,18,0.1,1,10,6
143,0.1,0.31,0.5,24.833333333333332,88.66666666666667,21,0.1,1,10,6
144,0.1,0.31,0.5,31.5,90.16666666666667,18,0.1,1,10,6
145,0.1,0.31,0.5,30.166666666666668,89.33333333333333,19,0.1,1,10,6
146,0.1,0.31,0.5,25.333333333333332,89.83333333333333,18,0.1,1,10,6
147,0.1,0.31,0.5,31.333333333333332,89.66666666666667,21,0.1,1,10,6
148,0.1,0.31,0.5,30.333333333333332,86.83333333333333,27,0.1,1,10,6
